latitude,longitude,filename,sst,chlor_a,Kd_490
-29.00004,31.719057,AQUA_MODIS.20200127T122501.L2.OC.nc,,8.373872,0.6042
-29.00004,31.740276,AQUA_MODIS.20200127T122501.L2.OC.nc,,7.6634564,0.5434
-29.00004,31.761496,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.924962,0.4834
-29.00004,31.782713,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.106106,0.4206
-29.00004,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.0064855,0.4132
-29.00004,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.71209,0.3918
-29.00004,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.231011,0.3576
-29.00004,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.625278,0.3854
-29.00004,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.0561657,0.34559998
-29.00004,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.2026095,0.3556
-29.00004,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.9986143,0.3416
-29.00004,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.861751,0.3324
-29.00004,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.815992,0.3292
-29.00004,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.5116515,0.309
-29.00004,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.443658,0.3046
-29.00004,32.03734,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.159665,0.28599998
-29.00004,32.058556,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.181672,0.28759998
-29.00004,32.079773,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.0274587,0.2776
-28.98962,31.719057,AQUA_MODIS.20200127T122501.L2.OC.nc,,8.450074,0.611
-28.98962,31.740276,AQUA_MODIS.20200127T122501.L2.OC.nc,,7.4783134,0.528
-28.98962,31.761496,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.9416313,0.48459998
-28.98962,31.782713,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.049782,0.4164
-28.98962,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.833444,0.4006
-28.98962,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.67806,0.3892
-28.98962,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.1512995,0.3522
-28.98962,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.274007,0.3606
-28.98962,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.8284063,0.32999998
-28.98962,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.739792,0.3242
-28.98962,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.49849,0.3082
-28.98962,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.4807286,0.30699998
-28.98962,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.4604177,0.3056
-28.98962,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.470236,0.3062
-28.98962,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.9697506,0.274
-28.98962,32.03734,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.9734724,0.2742
-28.98962,32.058556,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.6689904,0.2552
-28.98962,32.079773,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.7399976,0.25959998
-28.979198,31.740276,AQUA_MODIS.20200127T122501.L2.OC.nc,,7.497555,0.52959996
-28.979198,31.761496,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.887536,0.4804
-28.979198,31.782713,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.398589,0.44259998
-28.979198,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.514374,0.37759998
-28.979198,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.4576955,0.37359998
-28.979198,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.3480864,0.3658
-28.979198,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.975689,0.34
-28.979198,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.9975333,0.3416
-28.979198,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.8462925,0.3312
-28.979198,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.593323,0.3144
-28.979198,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.5799503,0.3134
-28.979198,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.4750605,0.3066
-28.979198,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.149594,0.2854
-28.979198,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.9938362,0.2756
-28.979198,32.03734,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.8615441,0.2672
-28.979198,32.058556,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.7524471,0.2604
-28.979198,32.079773,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.6852648,0.2562
-28.968777,31.761496,AQUA_MODIS.20200127T122501.L2.OC.nc,,7.102605,0.4974
-28.968777,31.782713,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.605121,0.45839998
-28.968777,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.026572,0.41459998
-28.968777,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.834691,0.4006
-28.968777,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.831308,0.40039998
-28.968777,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.073794,0.3468
